recno	P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	r_pmRA	pmRA	pmDE	Nc	K14	RV	o_RV	r_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
1129	P	Hogg 9	10 58 22	-59 03 00		1.0	3049	0.38	7.45	D14	0.12	-0.97	28	K14						2-1-vp-*	WEBDA	Lynga
1130		Majaess 133	10 58 43	-61 11 15	IR	4.0				D14	-2.15	-2.27	169	K14							WEBDA	Lynga
1131		Turner 6	10 59 01	-59 29 58		1.3	3250	1.32	7.9	D14	0.72	1.76	39	K14							WEBDA	Lynga
1132		Teutsch 106	10 59 25	-59 32 49		3.2	6660	1.02	8.78	D14	-2.29	0.56	125	K14							WEBDA	Lynga
1133		Majaess 135	10 59 35	-59 00 02	IR	4.0				D14	-3.77	-0.21	136	K14							WEBDA	Lynga
1134	P	NGC 3496	10 59 36	-60 20 12		8.0	990	0.469	8.471	D14	-3.61	-1.14	503	K14	-51.4	1	K07				WEBDA	Lynga
1135		ESO 265 01	11 00 58	-45 21 00	d	4.0	3162	0.0	9.35	D14	-7.31	-0.51	32	K14							WEBDA	Lynga
1136		Sher 1	11 01 04	-60 14 00		1.0	5875	1.374	6.713	D14	-8.19	1.93	24	K14							WEBDA	Lynga
1137	P	Pismis 17	11 01 06	-59 49 00		6.0	3504	0.471	7.023	D14	-3.89	0.59	201	K14	65.1	1	D14	-0.145	5		WEBDA	Lynga
1138		ASCC 64	11 03 04	-60 55 12		21.6	1500	0.15	7.92	D14	-2.94	-3.58	2532	K14	1.15	3	D14				WEBDA	Lynga
1139		Ruprecht 163	11 04 51	-67 57 00		2.0	3019	0.312	9.365	K14	-12.26	6.7	60	K14						4-1-vp-*	WEBDA	Lynga
1140	P	NGC 3532	11 05 39	-58 45 12		50.0	492	0.028	8.477	TYC	-10.95	4.8	110	K14	4.33	8	MMU	0.02	3		WEBDA	Lynga
1141		Feinstein 1	11 05 56	-59 49 00		25.0	1159	0.4	7.0	D14	-3.55	-1.79	2320	K14	2.2	4	D14				WEBDA	Lynga
1142		Loden 306	11 06 08	-61 06 00	nf	26.0	2000	0.24	6.76	D14	-2.62	-3.39	3058	K14	-32.06	2	D14				WEBDA	Lynga
1143		BH 110	11 07 18	-61 27 00		2.0	5593	0.42	9.0	K14	-9.28	2.1	31	K14						1-1-p-*	WEBDA	Lynga
1144		ESO 502 19	11 08 07	-26 43 48	p	3.0	1338	0.208	9.21	K14	-12.16	2.48	9	K14						4-1-p-*	WEBDA	Lynga
1145		Teutsch 143a	11 08 41	-60 42 48		1.0	5483	0.46	8.85	D14	-2.35	-2.09	30	K14							WEBDA	Lynga
1146		BH 111	11 09 08	-63 50 00		2.0	2700	0.25	8.35	KHA	-8.75	0.77	5	K14						2-2-p-*	WEBDA	Lynga
1147		Loden 280	11 09 42	-59 06 00	nf	4.0	5246	0.625	8.91	D14	-4.75	-2.69	117	K14							WEBDA	Lynga
1148	P	NGC 3572	11 10 23	-60 14 54		5.0	1995	0.389	6.891	D14	-4.37	-0.96	222	K14	-4.0	1	D14				WEBDA	Lynga
1149		Basel 17	11 10 34	-59 02 00		10.0	1636	0.16		D14	-4.36	-3.14	498	K14						4-2-vp-	WEBDA	Lynga
1150	P	Hogg 10	11 10 42	-60 24 00		3.0	1776	0.46	6.784	D14	-4.55	-1.01	86	K14	1.0	1	D14				WEBDA	Lynga
1151		Loden 309	11 10 43	-60 23 00		1.5	600	0.25	8.63	D14	-5.7	0.47	39	K14	1.0	1	D14			2-2-vp	WEBDA	Lynga
1152		ASCC 65	11 11 06	-61 07 12		26.4	3500	0.4	7.09	D14	-3.48	-2.27	2902	K14	-14.39	7	D14				WEBDA	Lynga
1153	P	Trumpler 18	11 11 28	-60 40 00		5.0	1358	0.315	7.194	D14	-4.07	-0.88	236	K14	-20.0	1	D14				WEBDA	Lynga
1154	P	Hogg 11	11 11 37	-60 24 00		2.0	2270	0.32	7.08	D06	-0.65	6.58	5	K14							WEBDA	Lynga
1155		Collinder 240	11 11 40	-60 18 35		32.0	1577	0.31	7.16	D14	-4.33	-1.82	3575	K14	-8.02	5	D14				WEBDA	Lynga
1156		ESO 570 12	11 12 07	-21 21 00	cr	8.0	640	0.03	8.9	D14	-4.93	-3.0	17	K14	7.8	1	D14			3-3-p-*	WEBDA	Lynga
1157	P	NGC 3590	11 12 59	-60 47 18		3.0	1651	0.449	7.231	D14	-3.3	-1.28	117	K14	-7.33	3	K07				WEBDA	Lynga
1158	P	Hogg 12	11 13 01	-60 47 00		4.0	2000	0.4	7.48	D14	-3.43	-1.84	154	K14						3-2-p-*	WEBDA	Lynga
1159	P	Stock 13	11 13 05	-58 53 00		5.0	1577	0.218	7.222	D14	-5.49	-2.72	157	K14	1.0	1	K07				WEBDA	Lynga
1160		ASCC 66	11 13 37	-55 25 12		36.0	1000	0.1	7.76	K05	-13.76	3.31	12	K14							WEBDA	Lynga
1161		Trumpler 19	11 14 20	-57 33 04		14.0	1900	0.08	9.65	D14	-4.49	0.62	874	K14						4-2-m-*	WEBDA	Lynga
1162	P	NGC 3603	11 15 07	-61 15 36		4.0	6900	1.338	6.0	LOK	-5.76	0.28	12	K14							WEBDA	Lynga
1163		Hogg 13	11 16 18	-60 16 00	nf	3.0	2208	0.25	8.65	D14	-4.69	-3.6	69	K14						4-1-p-*	WEBDA	Lynga
1164	P	IC 2714	11 17 27	-62 44 00		14.0	1238	0.341	8.542	D14	-3.74	0.12	535	K14	-14.1	8	CMPM	0.01	3		WEBDA	Lynga
1165		ESO 093 08	11 19 41	-65 13 12		1.0	14000	0.8	9.74	D14	-3.55	-1.38	23	K14	86.0	1	FMMF				WEBDA	Lynga
1166	P	Melotte 105	11 19 42	-63 29 00		5.0	1715	0.83	8.55	D14	-6.3	0.11	202	K14	0.4	2	K14	0.08			WEBDA	Lynga
1167		Loden 336	11 20 00	-58 50 00		2.0								K14						4-1-p-*	WEBDA	Lynga
1168		ESO 129 19	11 21 11	-58 13 54	d	5.0	1791	0.416	9.0	D14	-3.45	-3.57	121	K14							WEBDA	Lynga
1169		FSR 1586	11 22 45	-62 19 06	IR	5.0	2420	1.6	8.65	D14	-2.83	-4.71	128	K14							WEBDA	Lynga
1170		BH 118	11 23 03	-58 33 00		2.0	1493	0.27	8.6	K14	-7.56	3.45	21	K14						2-1-p-*	WEBDA	Lynga
1171	P	NGC 3680	11 25 38	-43 14 36		5.0	938	0.066	9.077	D14	-5.42	2.29	40	K14	1.28	8	MMU	-0.19	7		WEBDA	Lynga
1172		Ruprecht 94	11 30 37	-63 26 00	d	20.0	3400	0.3	7.19	D14	-4.19	-2.71	883	K14	2.0	1	K05			3-2-r-*	WEBDA	Lynga
1173		Ruprecht 164	11 30 51	-60 44 00		5.0	780	0.11	9.0	KHA	-0.89	5.03	6	K14						4-1-m-*	WEBDA	Lynga
1174		Loden 372	11 30 55	-58 29 00		6.0	1200	0.4	8.55	D14	-5.28	-3.49	186	K14						3-2-p-*	WEBDA	Lynga
1175		Loden 402	11 32 52	-60 43 00		10.0	2450	0.18	8.2	D14	-3.23	-3.59	682	K14	-3.0	1	K07			4-1-p-*	WEBDA	Lynga
1176	P	NGC 3766	11 36 14	-61 36 30		9.3	2218	0.2	7.32	BDW	-7.21	1.33	7	K14	-16.66	2	MMU				WEBDA	Lynga
1177	P	IC 2944	11 38 20	-63 22 22		65.0	1794	0.32	6.818	D14	-5.16	-2.39	8860	K14	-2.41	27	D14				WEBDA	Lynga
1178		ASCC 67	11 41 31	-61 01 12		24.0	1500	0.3	7.67	D14	-1.22	-3.76	2667	K14	-20.73	2	D14				WEBDA	Lynga
1179		Bica 5	11 41 34	-62 25 05	p	3.0	1740	0.0	8.78	D14	-4.61	-5.45	78	K14							WEBDA	Lynga
1180		Lynga 15	11 42 24	-62 29 00		8.0	1380	0.625	7.4	D14	-4.02	-6.47	327	K14	-8.2	2	K14			2-1-p-*	WEBDA	Lynga
1181		Ruprecht 95	11 43 38	-61 08 00		4.0	1634	0.416	8.495	D14	-0.82	-4.0	175	K14						3-1-m-*	WEBDA	Lynga
1182		Loden 466	11 43 42	-62 31 00		3.5				D14	-5.42	-6.02	110	K14	-12.91	3	D14			2-3-p-*	WEBDA	Lynga
1183	P	Stock 14	11 43 48	-62 31 00		6.0	2399	0.21	7.3	BDW	-5.93	0.82	2	K14	-12.91	3	D14				WEBDA	Lynga
1184		ESO 129 32	11 44 09	-61 04 54	d	4.0	1560	0.416	8.6	D14	-2.85	-2.2	127	K14							WEBDA	Lynga
1185		Loden 467	11 45 30	-62 26 00	nf	4.5	2569	0.625	6.6	D14	-6.47	-2.34	124	K14							WEBDA	Lynga
1186		FSR 1595	11 47 05	-62 38 13	IR	2.4	4416	0.854	6.35	K14	-3.48	-1.28	196	K14							WEBDA	Lynga
1187		SAI 116	11 49 18	-62 13 47		5.0	2200	0.98	8.6	D14	-6.58	-1.14	165	K14							WEBDA	Lynga
1188		NGC 3909	11 49 49	-48 15 06		16.0	1100	0.13	9.3	D14	-9.9	1.45	250	K14						3-3-p-*	WEBDA	Lynga
1189		ESO 217 08	11 50 08	-48 14 00		2.0								K14							WEBDA	Lynga
1190	P	NGC 3960	11 50 33	-55 40 24	v	5.0	1850	0.29	9.1	D14	-4.75	3.97	188	K14	-22.26	10	MMU	0.02	6		WEBDA	Lynga
1191		Ruprecht 96	11 50 37	-62 08 00		5.0	860	0.25	9.0	D14	-4.42	-0.54	274	K14						4-1-p-*	WEBDA	Lynga
1192		Loden 481	11 51 47	-61 17 00		26.0	1520	0.24	8.19	D14	-3.15	-0.43	2431	K14	-7.1	1	D14			4-3-p-*	WEBDA	Lynga
1193		Teutsch 77	11 53 15	-62 36 34		7.0	1450	0.45	9.48	D14	-3.91	-1.96	273	K14							WEBDA	Lynga
1194		Loden 480	11 56 00	-58 26 00	nf	2.5	1200	0.3	8.71	KHA	-8.55	5.73	6	K14							WEBDA	Lynga
1195	P	Ruprecht 97	11 57 28	-62 43 00		5.0	1357	0.229	8.343	D14	-3.89	-1.11	176	K14	-14.9	2	K14	-0.03	2		WEBDA	Lynga
1196	P	Ruprecht 98	11 58 40	-64 35 00		14.0	494	0.162	8.508	TYC	-7.25	-7.1	36	K14	-7.6	1	K07				WEBDA	Lynga
1197		Feigelson 1	11 59 51	-78 12 27	v	18.0	114	0.02	6.602	MAM	-39.5	-1.0	10	K14	13.0	1	MAM				WEBDA	Lynga
1198		NGC 4052	12 01 02	-63 13 30		9.0	1209	0.156	8.495	D14	-3.48	0.38	378	K14							WEBDA	Lynga
1199		Juchert 13	12 01 41	-64 06 00		4.0	2944	0.73	9.05	D14	-5.36	-0.08	164	K14							WEBDA	Lynga
1200		Alessi Teutsch 8	12 02 55	-60 55 30		24.0	650	0.1	8.65	D14	-4.71	-0.11	2288	K14							WEBDA	Lynga
1201		Ruprecht 99	12 03 04	-63 51 00		5.0	660	0.05	9.29	D14	-4.69	0.23	137	K14						3-1-p-*	WEBDA	Lynga
1202		Ruprecht 100	12 05 53	-62 37 00		6.0	2435	0.56	8.5	D14	-3.41	-1.19	265	K14				-0.2		4-1-m-*	WEBDA	Lynga
1203		ASCC 69	12 06 36	-69 46 12		48.0	1000	0.17	7.91	K05	-7.52	-0.64	12	K14	-0.99	2	D14				WEBDA	Lynga
1204	P	NGC 4103	12 06 40	-61 15 00		6.0	1632	0.294	7.393	BDW	-7.3	-0.13	1	K14	-12.0	1	K07				WEBDA	Lynga
1205		ESO 130 06	12 07 46	-59 18 00	d	10.0	2200	0.12	8.33	D14	-7.65	-1.56	299	K14	-1.0	2	K14				WEBDA	Lynga
1206		FSR 1605	12 07 52	-65 11 38	IR	2.8	4430	0.833	9.5	K14	-6.02	2.4	97	K14							WEBDA	Lynga
1207		Loden 565	12 08 19	-60 39 00		16.0	650	0.2	8.05	D14	-5.41	-0.81	698	K14	10.1	1	K05			4-3-p-*	WEBDA	Lynga
1208		Ruprecht 101	12 09 38	-62 59 00		14.0	2318	0.52	9.05	D14	-3.99	2.34	918	K14						4-1-r-*	WEBDA	Lynga
1209		Stock 15	12 10 30	-59 29 00		12.0				D14	-5.92	-1.82	537	K14						4-1-p-*	WEBDA	Lynga
1210		Alessi 52	12 13 02	-62 42 23		2.2	3325	1.08	9.15					K14							WEBDA	Lynga
1211		Ruprecht 102	12 13 33	-62 43 00		2.0	1609	0.521	7.5	K14	-6.98	0.43	252	K14						4-1-p-*	WEBDA	Lynga
1212		Saurer 4	12 14 03	-63 35 36		1.8	6190	1.24	9.18	D14	-4.98	0.59	37	K14							WEBDA	Lynga
1213		ASCC 70	12 15 00	-64 25 48		36.0	2700	0.35	6.92	D14	-4.99	1.2	4173	K14	-10.44	2	D14				WEBDA	Lynga
1214		NGC 4230	12 17 20	-55 06 06		10.0	1445	0.23	9.23	D14	-6.43	-2.74	230	K14						4-2-p-*	WEBDA	Lynga
1215		Loden 615	12 20 39	-64 47 00		2.5	1000	0.05	8.63	KHA	-6.8	-2.67	8	K14						4-1-p-*	WEBDA	Lynga
1216		ASCC 71	12 20 42	-67 31 12		49.2	1300	0.25	7.88	K05	-7.73	-0.3	28	K14	-17.9	1	K07				WEBDA	Lynga
1217		ESO 130 13	12 23 18	-59 39 36		10.0	4319	0.63	9.1	D14	-3.62	-0.9	327	K14							WEBDA	Lynga
1218	P	NGC 4337	12 24 04	-58 07 24		4.0	2600	0.23	9.2	D14	-5.52	2.37	141	K14	-17.75	7	CMV	0.12	7		WEBDA	Lynga
1219	P	NGC 4349	12 24 08	-61 52 18		5.0	2176	0.384	8.315	BDW	-5.77	1.44	1	K14	-11.87	10	MMU	-0.12	3		WEBDA	Lynga
1220		ESO 064 05	12 24 33	-68 28 00	d	10.0	1239	0.416	7.885	D14	-6.76	4.3	372	K14							WEBDA	Lynga
1221		Collinder 257	12 24 46	-60 53 12		5.0				D14	-4.35	-1.17	146	K14							WEBDA	Lynga
1222		Ruprecht 104	12 24 53	-60 26 00		4.0	2702	0.75	8.89	D14	-2.31	-2.25	84	K14						3-1-p-*	WEBDA	Lynga
1223		Melotte 111	12 25 06	+26 06 00		120.0	96	0.013	8.652	D14	-6.78	-3.41	863	K14	0.01	28	M09	0.07	11		WEBDA	Lynga
1224		BH 131	12 26 14	-63 24 50		5.0	6250	0.62	9.1	D14	-5.03	0.09	161	K14						3-1-p-*	WEBDA	Lynga
1225		Loden 624	12 26 22	-61 43 00		38.0	1423	0.416	7.6	D14	-0.94	-0.63	4914	K14	-15.7	1	D14			3-2-p-*	WEBDA	Lynga
1226		BH 132	12 27 00	-64 04 00		4.0	5229	0.645	9.4	D14	-4.45	-0.95	96	K14						3-1-p-*	WEBDA	Lynga
1227		Harvard 5	12 27 16	-60 46 44		5.0	1184	0.16	8.032	D14	-2.94	-1.94	168	K14	14.9	6	FM09	0.07	2		WEBDA	Lynga
1228	P	NGC 4439	12 28 27	-60 06 18		4.0	1785	0.348	7.909	BDW	-10.49	-0.85	2	K14							WEBDA	Lynga
1229		Hogg 23	12 28 32	-60 53 43		7.0	1250	0.07	8.31	D14	-0.68	-2.45	201	K14						4-3-p-*	WEBDA	Lynga
1230		Ruprecht 165	12 28 35	-56 26 00		20.0	2082	0.645	9.115	D14	-14.37	-2.2	577	K14						2-3-m-*	WEBDA	Lynga
1231	P	Hogg 14	12 28 36	-59 49 00		3.0	969	0.229	8.099	BDW	-9.22	1.08	1	K14							WEBDA	Lynga
1232		FSR 1617	12 28 44	-66 34 52	IR	4.3	1828	0.437	8.9	D14	-2.49	0.36	141	K14							WEBDA	Lynga
1233		ESO 131 09	12 29 38	-57 52 36		5.0	2276	0.85	7.35	D14	-2.84	-0.09	69	K14						3-2-vp-*	WEBDA	Lynga
1234	P	NGC 4463	12 29 56	-64 47 24		3.5	1050	0.434	7.505	BDW	-4.85	0.88	3	K14	-12.2	1	MMU				WEBDA	Lynga
1235		ASCC 72	12 33 00	-60 57 00		30.0	1100	0.16	8.13	K05	-4.99	-0.48	19	K14							WEBDA	Lynga
1236		Ruprecht 105	12 34 14	-61 34 00		12.0	950	0.05	9.01	D14	-1.53	-0.68	511	K14						3-2-p-*	WEBDA	Lynga
1237		ASCC 73	12 36 36	-67 17 24		48.0	650	0.05	8.19	K05	-11.72	-0.88	18	K14	-15.8	1	K07				WEBDA	Lynga
1238	P	Collinder 261	12 37 57	-68 22 00		9.0	2190	0.27	9.95	D14	-0.77	-0.55	378	K14	-30.0	21	FJ02	-0.03	6		WEBDA	Lynga
1239		Trumpler 20	12 39 31	-60 38 00		16.0	3300	0.46	9.11	D14	-2.22	-1.94	1326	K14	-40.8	5	PMFK	0.17	13	2-2-m-*	WEBDA	Lynga
1240	P	NGC 4609	12 42 18	-62 59 42		13.0	1320	0.37	7.7	BDW	-9.45	-6.52	1	K14	-21.3	1	MMU	0.05	1		WEBDA	Lynga
1241	P	Hogg 15	12 43 37	-63 06 00		7.0	3200	1.3	6.6	BDW	-7.87	2.39	1	K14	55.0	1	K14				WEBDA	Lynga
1242		Loden 682	12 47 17	-60 39 00	d	26.0	900	0.2	8.41	D14	-2.44	-1.91	1887	K14	-31.0	1	D14				WEBDA	Lynga
1243		ESO 065 03	12 51 37	-69 43 48	p	6.0	2300	0.45	8.75	D14	-2.6	-2.72	132	K14	-28.5	1	K14				WEBDA	Lynga
1244		Loden 694	12 53 01	-60 46 00	d	23.0	1700	0.24	7.38	D14	-2.42	-1.28	1588	K14	-23.0	1	D14				WEBDA	Lynga
1245		BH 140	12 53 06	-67 10 00		5.0	3106	1.85	8.2	D14	-5.82	1.57	103	K14						3-1-m-*	WEBDA	Lynga
1246	P	NGC 4755	12 53 39	-60 21 42		10.0	1976	0.388	7.216	BDW	-4.42	-1.53	5	K14	-20.0	56	ESLK				WEBDA	Lynga
1247	P	NGC 4815	12 57 59	-64 57 36		5.0	3079	0.808	8.369	D14	-2.7	-2.41	264	K14				-0.01	5		WEBDA	Lynga
1248		NGC 4852	13 00 09	-59 36 48		10.0	1100	0.45	8.3	D14	-8.41	-2.59	457	K14	-5.0	1	D14			1-3-r-*	WEBDA	Lynga
1249		Latham 1	13 10 50	+30 28 36		60.0	1015	0.208	9.4	D14	-2.32	-3.2	207	K14	-2.4	7	LD91				WEBDA	Lynga
1250		Loden 757	13 12 24	-65 18 00	nf	18.0	1340	0.666	8.07	D14	-2.95	-3.35	1651	K14						4-2-p-*	WEBDA	Lynga
1251		Danks 1	13 12 27	-62 41 38		1.5	3600	2.68	6.48	CBC	-28.0	-16.0	9	K14	-42.0	9	CBC			1-1-p-*	WEBDA	Lynga
1252		Danks 2	13 12 55	-62 40 52		1.5	3600	2.4	6.7	CBC	-23.0	-11.0	18	K14	-44.0	18	CBC			1-1-p-*	WEBDA	Lynga
1253		NGC 5045	13 14 10	-63 23 24		45.2	1500	0.37	7.11	D14	-3.0	-2.86	6205	K14	-7.35	3	D14				WEBDA	Lynga
1254		BH 144	13 15 06	-65 55 00		1.5	12000	0.7	8.9	D14	-4.73	-3.36	48	K14	40.0	3	FMMF	-0.51	2		WEBDA	Lynga
1255		NGC 5043	13 16 09	-60 04 24	r	14.0	970	0.15	8.79	D14	-7.72	-1.52	607	K14						4-3-p-*	WEBDA	Lynga
1256	P	Collinder 268	13 18 13	-67 05 00		5.0	1963	0.308	8.759	D14	-2.12	-0.46	124	K14	-27.18	1	K14				WEBDA	Lynga
1257	P	Stock 16	13 19 29	-62 38 00		3.0	1810	0.52	6.9	D14	-8.97	-3.36	72	K14	-41.8	5	K07				WEBDA	Lynga
1258	P	Ruprecht 107	13 19 46	-64 57 00		3.0	1442	0.458	7.478	D14	-3.58	-3.35	138	K14							WEBDA	Lynga
1259		FSR 1645	13 21 10	-61 56 46	IR	10.6	1278	0.521	8.0	D14	-8.34	-4.77	563	K14							WEBDA	Lynga
1260		Collinder 269	13 23 31	-66 11 00	d	15.0	1300	0.27	8.52	D14	-3.45	-3.87	986	K14							WEBDA	Lynga
1261		Teutsch 79	13 23 39	-63 40 24		4.4	1250	2.56	8.78	D14	-3.63	-2.16	237	K14							WEBDA	Lynga
1262		ESO 324 15	13 23 43	-41 53 12		4.0	2818	0.0	9.7	D14	-9.97	1.06	21	K14						3-2-p-*	WEBDA	Lynga
1263		Loden 821	13 24 21	-59 44 00	d	19.0	2800	0.5	7.29	D14	-8.22	-1.21	1029	K14	-39.0	1	D14	-0.099	1		WEBDA	Lynga
1264		Loden 807	13 24 40	-62 29 00		20.0	925	0.2	8.3	D14	-7.55	-3.61	1108	K14	-0.1	1		-0.19	2	3-3-m-n	WEBDA	Lynga
1265		FSR 1651	13 25 26	-58 58 20	IR	1.6	3602	0.364	9.4	D14	-10.42	-4.14	30	K14							WEBDA	Lynga
1266	P	Ruprecht 166	13 25 39	-63 28 00		3.0				D14	-3.93	-2.32	137	K14						2-1-m-*	WEBDA	Lynga
1267	P	NGC 5138	13 27 16	-59 02 00		7.0	1986	0.262	7.986	D14	-7.95	-1.52	294	K14	-9.58	3	MMU	0.12	2		WEBDA	Lynga
1268	P	Basel 18	13 27 44	-62 18 46		6.0	2226	0.515	7.59	D14	-7.52	-3.13	170	K14	0.3	1	D14	0.043	1		WEBDA	Lynga
1269		ESO 065 07	13 29 17	-71 16 06		4.0	3835	0.48	9.1	D14	-2.49	-0.93	77	K14							WEBDA	Lynga
1270	P	Hogg 16	13 29 18	-61 12 00		6.0	1585	0.411	7.047	BDW	-3.71	-3.17	1	K14	-30.83	4	D14				WEBDA	Lynga
1271	P	Collinder 271	13 29 54	-64 12 00		5.0	1169	0.287	8.322	D14	-4.29	-2.83	269	K14							WEBDA	Lynga
1272		FSR 1657	13 30 01	-58 44 33	IR	1.4	5409	0.729	9.0	D14	-7.02	-0.35	51	K14							WEBDA	Lynga
1273	P	Collinder 272	13 30 26	-61 19 00		10.0	2095	0.604	7.02	K14	-4.5	-2.0	121	K14	-32.2	4	K14	0.06			WEBDA	Lynga
1274	P	NGC 5168	13 31 06	-60 56 24		4.0	1777	0.431	8.001	D14	-3.95	-3.05	135	K14							WEBDA	Lynga
1275		ESO 383 10	13 31 30	-35 03 56	cr	6.0	1000	0.0	9.3	D14	2.6	1.4	9	K14						3-2-p-*	WEBDA	Lynga
1276	P	Ruprecht 108	13 32 11	-58 28 00		10.0	901	0.136	8.424	BDW	-10.06	-3.25	2	K14							WEBDA	Lynga
1277	P	Trumpler 21	13 32 14	-62 48 00		5.0	1263	0.197	7.696	D14	-3.62	-3.36	167	K14							WEBDA	Lynga
1278		Loden 848	13 34 06	-64 31 00		11.0	1797	0.396	8.75	D14	-3.46	-3.54	783	K14						3-3-m-*	WEBDA	Lynga
1279		Loden 915	13 34 06	-59 15 00		32.0	500	0.15	8.44	D14	-4.29	-3.41	2994	K14	-21.61	1	RAVE			4-3-p-*	WEBDA	Lynga
1280		C1331 622	13 34 12	-62 25 02	v	7.0	819	0.23		D14	-1.59	-4.43	243	K14	-35.0	1	D14				WEBDA	Lynga
1281		Collinder 275	13 34 39	-60 12 00		11.0	1952	0.458	8.6	D14	-1.93	-3.84	440	K14						3-3-p-*	WEBDA	Lynga
1282		ASCC 74	13 35 49	-58 48 36		24.0	550	0.05	8.5	K05	-12.0	-0.32	7	K14							WEBDA	Lynga
1283		ESO 132 14	13 36 30	-62 12 49	p	3.0	1100	0.0	8.9	D14	-2.87	-5.23	70	K14							WEBDA	Lynga
1284	P	Pismis 18	13 36 55	-62 05 36		4.0	2240	0.5	9.08	D14	-2.43	-5.11	153	K14	-27.9	12	C14				WEBDA	Lynga
1285		Loden 894	13 39 41	-64 20 00		9.0	1423	0.729	9.04	D14	-3.57	-4.89	336	K14						4-3-p-*	WEBDA	Lynga
1286		BH 151	13 40 11	-61 43 52		1.0	3800			D14	0.05	-6.2	28	K14						1-2-m-n	WEBDA	Lynga
1287		SAI 118	13 43 04	-63 09 53		8.0	1140	0.17	9.75	D14	-3.39	-5.39	287	K14	15.63	1	D14				WEBDA	Lynga
1288		Dias 4	13 43 25	-63 00 48		6.4	2150	0.6	9.1	D14	-4.26	-5.25	171	K14							WEBDA	Lynga
1289		Platais 10	13 43 28	-59 07 18	o	324.0	246		8.0	PLA	-30.27	-11.04	4	K14	-13.95	25	D14				WEBDA	Lynga
1290		NGC 5269	13 44 44	-62 54 54		3.0	1410	0.52	8.2	D14	-1.68	-6.25	70	K14							WEBDA	Lynga
1291		Loden 1010	13 44 48	-60 17 00		31.0	700	0.2	8.69	KHA	-9.49	0.47	7	K14	-18.69	3	D14			4-3-m-*	WEBDA	Lynga
1292		Loden 991	13 45 24	-62 01 00		5.0	1089	0.21	9.35	D14	-4.63	-3.66	97	K14				-0.05		4-2-p-*	WEBDA	Lynga
1293	P	NGC 5281	13 46 35	-62 55 00		7.0	1108	0.225	7.146	D14	-3.39	-6.31	190	K14	-18.52	6	FM09	0.0			WEBDA	Lynga
1294		ASCC 75	13 47 10	-62 25 12		20.4	3000	0.3	6.65	D14	-4.35	-6.64	1117	K14	-38.17	2	D14				WEBDA	Lynga
1295		Platais 11	13 47 57	-66 01 12	o	180.0	232		8.3	PLA	-13.22	-8.71	4	K14							WEBDA	Lynga
1296		Collinder 277	13 48 24	-66 04 00		15.0	2204	0.416	8.3	D14	-5.25	-6.42	1062	K14						4-1-m-*	WEBDA	Lynga
1297		NGC 5288	13 48 44	-64 41 06		3.0	2158	0.65	8.25	D14	-5.12	-5.98	124	K14						2-1-p-*	WEBDA	Lynga
1298		Platais 12	13 51 44	-63 27 12	o	120.0	435	0.1	8.23	PLA	-8.29	-5.04	7	K14	-38.2	2	D14	-0.007	20		WEBDA	Lynga
1299		Loden 995	13 51 56	-64 52 30		26.5	2400	0.3	8.34	D14	-4.95	-5.71	2858	K14	-6.06	1	RAVE	-0.131	1		WEBDA	Lynga
1300		ASCC 76	13 52 16	-66 24 00		42.0	600	0.27	7.45	K05	-4.12	-3.34	11	K14	-19.9	2	D14				WEBDA	Lynga
1301		Loden 1095	13 53 30	-59 45 00		13.0	4028	0.854	8.55	D14	-3.74	-4.85	551	K14						4-2-p-*	WEBDA	Lynga
1302	P	NGC 5316	13 53 57	-61 52 06		14.0	1215	0.267	8.202	D14	-4.36	-3.91	672	K14	-15.1	4	MMU	-0.02			WEBDA	Lynga
1303		Loden 1002	13 54 18	-65 19 00	d	8.0	1332	0.396	8.0	D14	-5.03	-5.85	332	K14						4-2-p-*	WEBDA	Lynga
1304		ESO 445 74	13 54 39	-31 57 30		2.5	2048	0.85	8.2	K14	-7.25	-1.09	8	K14						3-2-vp-*	WEBDA	Lynga
1305		Loden 1101	13 58 18	-61 47 00		10.0	2088	0.625	6.55	D14	-6.1	-5.23	323	K14						3-2-m-*	WEBDA	Lynga
1306		Loden 1177	13 59 18	-57 51 00	d	13.0	4167	0.625	9.175	D14	-1.6	-5.96	573	K14							WEBDA	Lynga
1307		Loden 1171	13 59 24	-58 23 00		11.0	500	0.2	8.45	KHA	-12.95	-6.07	5	K14						3-2-m-*	WEBDA	Lynga
1308		Loden 1152	13 59 30	-59 21 00		11.0	1711	0.573	8.065	D14	-2.31	-4.22	469	K14						4-2-p-*	WEBDA	Lynga
1309	P	Lynga 1	14 00 02	-62 09 00		3.0	1900	0.45	8.0	D14	-4.0	-5.75	67	K14	-24.31	6	FM09	0.04			WEBDA	Lynga
1310		NGC 5359	14 00 09	-70 23 30	n	16.0	2500	0.1	8.3	D14	-3.48	-3.06	670	K14							WEBDA	Lynga
1311	P	NGC 5381	14 00 41	-59 35 12		11.0	2630	0.46	8.4	D14	-1.77	-4.92	527	K14						2-2-m-*	WEBDA	Lynga
1312		Loden 1202	14 04 24	-58 42 00		7.0	1063	0.833	8.645	D14	-2.37	-5.56	148	K14						4-2-m-*	WEBDA	Lynga
